labels;classic;lowest;random;;;;;;
1950;0;1;;;;;;;
1960;0;3;;;;;;;
1970;0;29;;;;;;;
1980;8;117;;;;;;;
1990;13;321;;;;Rijlabels;Som van classic;Som van random;Som van lowest
2000;51;729;;;;1950;0;;1
2010;141;1186;;;;1960;0;;3
2020;342;1483;;;;1970;0;;29
2030;639;1660;;;;1980;8;;117
2040;1069;1618;;;;1990;13;;321
2050;1435;1217;;;;2000;51;;729
2060;1584;815;;;;2010;141;;1186
2070;1554;468;;;;2020;342;;1483
2080;1259;210;;;;2030;639;;1660
2090;871;98;;;;2040;1069;;1618
2100;559;31;;;;2050;1435;;1217
2110;273;11;;;;2060;1584;;815
2120;129;3;;;;2070;1554;;468
2130;53;0;;;;2080;1259;;210
2140;17;0;;;;2090;871;;98
2150;3;0;;;;2100;559;;31
2160;;;;;;2110;273;;11
2170;;;;;;2120;129;;3
2180;;;;;;2130;53;;0
2190;;;;;;2140;17;;0
2200;;;;;;2150;3;;0
2210;;;;;;2160;;;
2220;;;;;;2170;;;
2230;;;;;;2180;;;
2240;;;;;;2190;;;
2250;;;;;;2200;;;
2260;;;;;;2210;;;
2270;;;;;;2220;;;
2280;;;;;;2230;;;
2290;;;;;;2240;;;
2300;;;;;;2250;;;
2310;;;;;;2260;;;
2320;;;;;;2270;;;
2330;;;;;;2280;;;
2340;;;;;;2290;;;
2350;;;;;;2300;;;
2360;;;;;;2310;;;
2370;;;;;;2320;;;
2380;;;;;;2330;;;
2390;;;1;;;2340;;;
2400;;;1;;;2350;;;
2410;;;0;;;2360;;;
2420;;;3;;;2370;;;
2430;;;2;;;2380;;;
2440;;;2;;;2390;;1;
2450;;;11;;;2400;;1;
2460;;;21;;;2410;;0;
2470;;;37;;;2420;;3;
2480;;;57;;;2430;;2;
2490;;;96;;;2440;;2;
2500;;;132;;;2450;;11;
2510;;;206;;;2460;;21;
2520;;;266;;;2470;;37;
2530;;;349;;;2480;;57;
2540;;;460;;;2490;;96;
2550;;;576;;;2500;;132;
2560;;;674;;;2510;;206;
2570;;;703;;;2520;;266;
2580;;;769;;;2530;;349;
2590;;;825;;;2540;;460;
2600;;;766;;;2550;;576;
2610;;;786;;;2560;;674;
2620;;;698;;;2570;;703;
2630;;;636;;;2580;;769;
2640;;;520;;;2590;;825;
2650;;;400;;;2600;;766;
2660;;;312;;;2610;;786;
2670;;;238;;;2620;;698;
2680;;;170;;;2630;;636;
2690;;;110;;;2640;;520;
2700;;;72;;;2650;;400;
2710;;;52;;;2660;;312;
2720;;;26;;;2670;;238;
2730;;;11;;;2680;;170;
2740;;;2;;;2690;;110;
2750;;;5;;;2700;;72;
2760;;;4;;;2710;;52;
2770;;;1;;;2720;;26;
;;;;;;2730;;11;
;;;;;;2740;;2;
;;;;;;2750;;5;
;;;;;;2760;;4;
;;;;;;2770;;1;
;;;;;;Eindtotaal;10000;10000;10000
